date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,changed
2020-03-20,88705,7354.439941,6854.669922,7248.069824,6879.52002,88,0.020456264,0
2020-03-23,108748,6984.939941,6631.419922,6847.279785,6860.669922,84,0.02096778444,0.0005115204386
2020-03-24,115064,7418.370117,7169.859863,7196.149902,7417.859863,80,0.02565746228,0.00468967784
2020-03-25,131055,7671.209961,7276.399902,7421.359863,7384.299805,76,0.03286758904,0.00721012676
2020-03-26,153039,7809.830078,7462.209961,7462.209961,7797.540039,75,0.04918818083,0.01632059179
2020-03-27,163388,7716.240234,7491.140137,7554.25,7502.379883,75,0.04515450263,-0.004033678204
2020-03-30,162372,7784.350098,7539.970215,7583.459961,7774.149902,63,0.06609912181,0.02094461918
2020-03-31,180653,7880.310059,7642.859863,7740.060059,7700.100098,62,0.04819772611,-0.01790139569
2020-04-01,198609,7566.370117,7301.97998,7459.5,7360.580078,59,0.02826654691,-0.0199311792
2020-04-02,207561,7501.700195,7307.950195,7317.450195,7487.310059,58,0.05059449144,0.02232794453
2020-04-03,,7518.720215,7288.109863,7477.27002,7373.080078,72,0.0488356156,-0.001758875839
2020-04-06,194973,7938.330078,7617.790039,7660.169922,7913.240234,63,0.03168881529,-0.01714680031
2020-04-07,201966,8146.430176,7881.220215,8129.990234,7887.259766,62,0.04668765401,0.01499883872
2020-04-08,218988,8114.430176,7901.939941,7975.720215,8090.899902,59,0.06000497282,0.01331731881
2020-04-09,,8227.910156,8072.319824,8169.009766,8153.580078,57,0.05348970136,-0.006515271457
2020-04-13,164634,8200.44043,8035.950195,8127.689941,8192.419922,55,0.04009388416,-0.0133958172
2020-04-14,198668,8531.110352,8338.080078,8353.209961,8515.740234,53,0.04374494166,0.003651057493
2020-04-15,,8464.660156,8308.790039,8355.959961,8393.179688,54,0.03061229525,-0.01313264641
2020-04-16,207214,8560.160156,8393.269531,8479.110352,8532.360352,52,0.04243316238,0.01182086714
2020-04-17,211753,8670.299805,8531.69043,8667.480469,8650.139648,51,0.05099155424,0.00855839186
2020-04-20,191185,8684.910156,8553.379883,8553.379883,8560.730469,43,0.05688912459,0.00589757035
2020-04-21,,8480.290039,8215.69043,8460.69043,8263.230469,43,0.05796607649,0.001076951902
2020-04-22,188974,8537.30957,8404.540039,8434.549805,8495.379883,35,0.05958261732,0.001616540821
2020-04-23,208435,8635.230469,8475.200195,8528.839844,8494.75,43,0.05851708837,-0.001065528943
2020-04-24,214410,8642.929688,8464.419922,8530.080078,8634.519531,42,0.05624212514,-0.002274963232
2020-04-27,,8754.570313,8697.370117,8717.980469,8730.160156,100,0.05818281342,0.001940688279
2020-04-28,190627,8830.570313,8600.700195,8825.69043,8607.730469,94,0.05274585628,-0.005436957136
2020-04-29,205762,8957.269531,8765.009766,8802.700195,8914.709961,92,0.05962128784,0.006875431555
2020-04-30,218918,8926.110352,8825.830078,8911.019531,8889.549805,78,0.07129083955,0.01166955172
2020-05-01,225896,8754.459961,8566.839844,8681.290039,8604.950195,90,0.0691748087,-0.002116030858
2020-05-04,199054,8715.820313,8537.830078,8555.320313,8710.709961,84,0.05930903594,-0.009865772752
2020-05-05,203286,8909.959961,8781.30957,8809.660156,8809.120117,83,0.0631850118,0.00387597586
2020-05-06,221187,8933.25,8819.370117,8874.700195,8854.389648,85,0.05517240187,-0.008012609936
2020-05-07,,9015.990234,8932.860352,8973.780273,8979.660156,82,0.05739377811,0.002221376244
2020-05-08,232781,9125.980469,9018.209961,9056.889648,9121.320313,78,0.06679322194,0.009399443829
2020-05-11,188858,9241.919922,9053.169922,9054.910156,9192.339844,79,0.05751579815,-0.009277423788
2020-05-12,,9250.959961,9000.070313,9225.150391,9002.549805,74,0.05139752069,-0.006118277465
2020-05-13,221003,9074.160156,8752.679688,9006.049805,8863.169922,73,0.05609387787,0.004696357186
2020-05-14,243348,8945.709961,8705.25,8788.040039,8943.719727,70,0.06026065769,0.004166779815
2020-05-15,256223,9018.400391,8821.379883,8839.990234,9014.55957,70,0.05955525716,-0.0007054005245
2020-05-18,233550,9267.219727,9154.349609,9177.150391,9234.830078,70,0.05910686414,-0.000448393021
2020-05-19,247007,9317.25,9183.25,9227.459961,9185.099609,62,0.0588817342,-0.0002251299387
2020-05-20,269340,9392.820313,9304.200195,9305.620117,9375.780273,57,0.05218450654,-0.006697227669
2020-05-21,271475,9405.25,9254.849609,9375.19043,9284.879883,56,0.0593528968,0.007168390268
2020-05-22,,9328.280273,9239.410156,9278.549805,9324.589844,52,0.06665526724,0.007302370439
2020-05-26,240518,9501.209961,9333.160156,9501.209961,9340.219727,53,0.08177325901,0.01511799176
2020-05-27,,9414.620117,9144.280273,9346.120117,9412.360352,52,0.06663371893,-0.01513954008
2020-05-28,298866,9523.639648,9345.280273,9392.990234,9368.990234,51,0.04477273618,-0.02186098275
2020-05-29,324201,9505.549805,9324.730469,9382.349609,9489.870117,49,0.03900023702,-0.005772499166
2020-06-01,,9571.280273,9462.320313,9471.419922,9552.049805,48,0.03390592877,-0.005094308252
2020-06-02,290607,9611.219727,9472.080078,9566.530273,9608.379883,46,0.03760826821,0.003702339448
2020-06-03,301528,9707.780273,9627.169922,9651.860352,9682.910156,45,0.04498999384,0.007381725627
2020-06-04,316823,9716.139648,9560.410156,9649.650391,9615.80957,44,0.04980960473,0.004819610893
2020-06-05,353612,9845.69043,9685.349609,9703.540039,9814.080078,43,0.04367638513,-0.006133219604
2020-06-08,270765,9927.129883,9780.610352,9823.44043,9924.75,44,0.06631389134,0.02263750621
2020-06-09,313260,10002.5,9863.269531,9867.19043,9953.75,43,0.05822980343,-0.008084087906
2020-06-10,337995,10086.88965,9962.580078,10012.32031,10020.34961,43,0.05172578016,-0.006504023269
2020-06-11,,9868.080078,9491.30957,9791.240234,9492.730469,43,0.0552955377,0.003569757538
2020-06-12,356352,9768.639648,9413.620117,9715.870117,9588.80957,42,0.04895473364,-0.006340804059
2020-06-15,308447,9756.070313,9403,9426.900391,9726.019531,42,0.03923896001,-0.009715773626
2020-06-16,,9963.629883,9748.379883,9949.780273,9895.870117,44,0.05503936042,0.01580040041
2020-06-17,356670,9991.209961,9891.80957,9943.30957,9910.530273,43,0.05653374795,0.001494387529
2020-06-18,329711,9959.200195,9885.660156,9892.480469,9943.049805,42,0.04016660125,-0.0163671467
2020-06-19,508849,10053.91016,9872.94043,10042.12988,9946.120117,41,0.04257491744,0.002408316188
2020-06-22,336426,10059.61035,9916.599609,9945.490234,10056.48047,42,0.04951787636,0.006942958923
2020-06-23,449205,10221.84961,10112.44043,10130.83008,10131.37012,42,0.03475756702,-0.01476030934
2020-06-24,436906,10137.5,9842.219727,10092.91992,9909.169922,42,0.02380475982,-0.0109528072
2020-06-25,463608,10023.28027,9810.469727,9899.360352,10017,42,0.04048777632,0.0166830165
2020-06-26,,10000.66992,9749.070313,9995.120117,9757.219727,43,0.04465039962,0.004162623304
2020-06-29,396781,9877.339844,9663.610352,9771.719727,9874.150391,42,0.04872298975,0.004072590131
2020-06-30,481644,10085.58984,9863.669922,9875.290039,10058.76953,41,0.03988411712,-0.008838872631
2020-07-01,,10197.19043,10048.04004,10063.66992,10154.62988,40,0.04883016563,0.008946048503
2020-07-02,547579,10310.36035,10194.05957,10268.66992,10207.62988,41,0.0515600165,0.002729850871
2020-07-06,,10462.04981,10354.98047,10360.37988,10433.65039,42,0.02058108185,-0.03097893465
2020-07-07,554183,10518.98047,10337.98047,10412.45996,10343.88965,42,0.04044701821,0.01986593636
2020-07-08,564243,10494.62988,10350.95996,10409.34961,10492.5,41,0.04085103814,0.0004040199281
2020-07-09,585774,10578.09961,10379.91016,10563.71973,10547.75,40,0.03866537238,-0.002185665753
2020-07-10,634979,10622.34961,10447.00977,10545.91016,10617.44043,40,0.04439767631,0.005732303932
