date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,total_injection
2020-03-20,88705,7354.439941,6854.669922,7248.069824,6879.52002,88,0.020456264,20997
2020-03-23,108748,6984.939941,6631.419922,6847.279785,6860.669922,84,0.020967784438567207,15820
2020-03-24,115064,7418.370117,7169.859863,7196.149902,7417.859863,80,0.02565746227812028,107407
2020-03-25,131055,7671.209961,7276.399902,7421.359863,7384.299805,76,0.03286758903849561,38975
2020-03-26,153039,7809.830078,7462.209961,7462.209961,7797.540039,75,0.04918818083306898,125822
2020-03-27,163388,7716.240234,7491.140137,7554.25,7502.379883,75,0.04515450262914921,13721
2020-03-30,162372,7784.350098,7539.970215,7583.459961,7774.149902,63,0.06609912180740571,12536
2020-03-31,180653,7880.310059,7642.859863,7740.060059,7700.100098,62,0.0481977261137045,216261
2020-04-01,198609,7566.370117,7301.97998,7459.5,7360.580078,59,0.028266546911323062,83788
2020-04-02,207561,7501.700195,7307.950195,7317.450195,7487.310059,58,0.05059449143910974,98682
2020-04-03,,7518.720215,7288.109863,7477.27002,7373.080078,72,0.04883561560014025,38940
2020-04-06,194973,7938.330078,7617.790039,7660.169922,7913.240234,63,0.03168881529143279,16157
2020-04-07,201966,8146.430176,7881.220215,8129.990234,7887.259766,62,0.046687654007990895,118782
2020-04-08,218988,8114.430176,7901.939941,7975.720215,8090.899902,59,0.06000497282063129,45093
2020-04-09,,8227.910156,8072.319824,8169.009766,8153.580078,57,0.05348970136354313,169885
2020-04-13,164634,8200.44043,8035.950195,8127.689941,8192.419922,55,0.04009388416373887,29766
2020-04-14,198668,8531.110352,8338.080078,8353.209961,8515.740234,53,0.043744941656613065,126357
2020-04-15,,8464.660156,8308.790039,8355.959961,8393.179688,54,0.03061229524515322,312235
2020-04-16,207214,8560.160156,8393.269531,8479.110352,8532.360352,52,0.042433162382154055,126437
2020-04-17,211753,8670.299805,8531.69043,8667.480469,8650.139648,51,0.05099155424206803,38703
2020-04-20,191185,8684.910156,8553.379883,8553.379883,8560.730469,43,0.05688912459179201,50244
2020-04-21,,8480.290039,8215.69043,8460.69043,8263.230469,43,0.05796607649385987,138489
2020-04-22,188974,8537.30957,8404.540039,8434.549805,8495.379883,35,0.05958261731534085,57655
